Cemetery	[2, ['cemetery', 'funeral']]
Memorial	[2, ['cemetery', 'memorial']]
Person	[124, ['abolitionism', 'abolitionist', 'account', 'activist', 'ancestor', 'ancestry', 'arrival', 'author', 'authority', 'baptism', 'biographer', 'biography', 'birth', 'blessing', 'brother', 'building', 'carpenter', 'cemetery', 'change', 'church', 'citation', 'colonist', 'company', 'counsel', 'couple', 'crew', 'death', 'descent', 'diary', 'discrimination', 'document', 'donation', 'duty', 'earning', 'enemy', 'entry', 'example', 'expedition', 'feeling', 'film', 'friendship', 'gift', 'girl', 'governor', 'grandfather', 'group', 'help', 'historian', 'history', 'home', 'household', 'idea', 'independence', 'individual', 'infant', 'instance', 'intelligence', 'interest', 'judge', 'justice', 'kidnapping', 'kindness', 'knowledge', 'level', 'literacy', 'love', 'mail', 'manumission', 'meeting', 'member', 'memoir', 'mother', 'native', 'neighbor', 'obituary', 'occasion', 'opportunity', 'organization', 'origin', 'overseer', 'party', 'people', 'person', 'petition', 'politician', 'prayer', 'preacher', 'priesthood', 'prison', 'project', 'promise', 'property', 'publisher', 'race', 'reader', 'recollection', 'regiment', 'relation', 'relationship', 'relative', 'residence', 'respect', 'response', 'role', 'school', 'servant', 'sister', 'situation', 'slaveholder', 'society', 'speech', 'state', 'status', 'style', 'surname', 'tavern', 'teacher', 'trader', 'trial', 'uncle', 'violence', 'vote', 'widow', 'wife']]
Integer	[100, ['ability', 'actor', 'adulthood', 'attack', 'attorney', 'audience', 'bibliography', 'book', 'boy', 'building', 'cabin', 'camp', 'captain', 'carriage', 'census', 'chef', 'coast', 'company', 'country', 'county', 'crowd', 'damage', 'decade', 'desire', 'enslavement', 'fugitive', 'genius', 'girl', 'gospel', 'governor', 'guest', 'half', 'hero', 'home', 'hour', 'household', 'image', 'individual', 'island', 'issue', 'jury', 'laborer', 'land', 'level', 'list', 'majority', 'man', 'meal', 'monument', 'movement', 'nation', 'novel', 'obituary', 'officer', 'overseer', 'paper', 'party', 'passenger', 'pension', 'people', 'person', 'photo', 'piece', 'plan', 'poem', 'population', 'portion', 'prisoner', 'publication', 'purchase', 'reader', 'rebellion', 'regiment', 'region', 'resident', 'review', 'road', 'scholar', 'seamstress', 'servant', 'settlement', 'speaker', 'star', 'state', 'support', 'supporter', 'tale', 'tavern', 'teacher', 'town', 'trade', 'transportation', 'troop', 'vessel', 'veteran', 'village', 'woman', 'word', 'work', 'worker']]
Resource	[65, ['abolition', 'activist', 'anniversary', 'arrival', 'arter', 'behalf', 'chef', 'church', 'circumstance', 'contract', 'controversy', 'damage', 'duty', 'editor', 'effect', 'effort', 'enslavement', 'escape', 'exhibit', 'expedition', 'food', 'foot', 'genius', 'gospel', 'governor', 'half', 'head', 'hero', 'idea', 'image', 'instruction', 'kindness', 'knowledge', 'list', 'loss', 'manner', 'marriage', 'material', 'mean', 'merchant', 'mission', 'obituary', 'overseer', 'pair', 'party', 'permission', 'piece', 'politician', 'portion', 'possession', 'project', 'public', 'reputation', 'resource', 'result', 'return', 'spring', 'statement', 'testimony', 'thought', 'use', 'view', 'vote', 'water', 'year']]
Datetime	[44, ['account', 'arrest', 'arrival', 'assault', 'attempt', 'baby', 'bond', 'ceremony', 'change', 'church', 'circumstance', 'class', 'comment', 'damage', 'death', 'end', 'escape', 'exchange', 'governor', 'history', 'infant', 'instance', 'kidnapping', 'level', 'life', 'loss', 'mail', 'marriage', 'meeting', 'opportunity', 'origin', 'party', 'period', 'photo', 'process', 'project', 'purchase', 'recollection', 'release', 'request', 'service', 'success', 'task', 'time']]
Location	[29, ['activism', 'arrest', 'artist', 'baptism', 'branch', 'church', 'estate', 'expedition', 'guard', 'guest', 'kidnapping', 'location', 'meeting', 'memorial', 'monument', 'party', 'plaque', 'play', 'resident', 'river', 'scene', 'seamstress', 'situation', 'speech', 'statue', 'tavern', 'tour', 'village', 'violence']]
Organizer	[2, ['convention', 'party']]
Party	[2, ['party', 'politic']]
Theme	[3, ['party', 'tale', 'theme']]
Size	[2, ['appearance', 'clothing']]
